                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3462,                 5.4428,                 4.3493,                      0,                      0,                      0,                      0,                   3.38,                 5.3228,                 4.1593,                      0,                      0,                      0
                      2,                 3.4148,                 5.4962,                 4.2351,                      0,                      0,                      0,                      0,                   3.38,                 5.3228,                 4.1592,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 3.4642,                 5.8217,                 4.2759,                      0,                      0,                      0,                      0,                 3.3795,                 5.3186,                 4.1595,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                  3.478,                 5.4969,                 4.1903,                      0,                      0,                      0,                      0,                 3.3796,                 5.3229,                 4.1596,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 3.3632,                 5.6614,                 4.2616,                      0,                      0,                      0,                      0,                 3.3792,                 5.3234,                 4.1597,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 3.4329,                   5.74,                 4.3291,                      0,                      0,                      0,                      0,                 3.3795,                 5.3209,                   4.16,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 2.9653,                 5.4999,                 4.4204,                      0,                      0,                      0,                      0,                 3.3787,                 5.3181,                   4.16,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 3.4138,                 5.5464,                 4.2001,                      0,                      0,                      0,                      0,                 3.3787,                 5.3189,                 4.1603,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 3.4137,                 5.5397,                 4.2926,                      0,                      0,                      0,                      0,                 3.3787,                 5.3189,                 4.1604,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 3.3897,                 5.7709,                 4.3128,                      0,                      0,                      0,                      0,                 3.3813,                 5.3237,                 4.1607,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 2.7378,                 5.6292,                 4.2795,                      0,                      0,                      0,                      0,                 3.3809,                  5.321,                 4.1606,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 3.2387,                 5.6961,                 4.2338,                      0,                      0,                      0,                      0,                 3.3805,                 5.3224,                 4.1609,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 3.6754,                 5.7148,                 4.3413,                      0,                      0,                      0,                      0,                 3.3805,                 5.3191,                 4.1608,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 3.4709,                 5.4487,                 4.2637,                      0,                      0,                      0,                      0,                 3.3803,                 5.3206,                 4.1612,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 3.4729,                 5.6199,                 4.2503,                      0,                      0,                      0,                      0,                 3.3803,                 5.3206,                 4.1616,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 3.5436,                 5.6125,                 4.2941,                      0,                      0,                      0,                      0,                 3.3803,                 5.3208,                 4.1613,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                  3.211,                 5.4733,                 4.2416,                      0,                      0,                      0,                      0,                 3.3804,                 5.3213,                 4.1614,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 3.1324,                 5.3662,                 4.2071,                      0,                      0,                      0,                      0,                 3.3804,                 5.3213,                 4.1614,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 3.2652,                 5.6691,                 4.2231,                      0,                      0,                      0,                      0,                 3.3809,                  5.323,                 4.1615,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 3.2794,                 5.4117,                 4.3254,                      0,                      0,                      0,                      0,                 3.3809,                  5.323,                 4.1615,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 3.3956,                 5.4855,                   4.22,                      0,                      0,                      0,                      0,                 3.3807,                 5.3204,                 4.1617,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 2.9573,                  5.497,                 4.3635,                      0,                      0,                      0,                      0,                 3.3807,                 5.3204,                 4.1617,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 3.0215,                 5.6381,                 4.3067,                      0,                      0,                      0,                      0,                   3.38,                 5.3197,                 4.1623,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 3.2302,                 5.6493,                 4.4272,                      0,                      0,                      0,                      0,                   3.38,                 5.3197,                 4.1623,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                 3.2714,                 5.4581,                 4.2148,                      0,                      0,                      0,                      0,                 3.3806,                 5.3237,                 4.1624,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 3.3817,                 5.5904,                 4.2418,                      0,                      0,                      0,                      0,                 3.3806,                 5.3237,                 4.1624,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 3.3763,                 5.6692,                 4.2777,                      0,                      0,                      0,                      0,                 3.3798,                 5.3209,                 4.1629,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 3.1115,                 5.3714,                  4.365,                      0,                      0,                      0,                      0,                 3.3798,                 5.3209,                 4.1629,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                 3.3754,                 5.7166,                 4.3444,                      0,                      0,                      0,                      0,                 3.3805,                 5.3193,                  4.163,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 3.1279,                 5.5507,                 4.2382,                      0,                      0,                      0,                      0,                 3.3805,                 5.3193,                  4.163,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                 3.4952,                 5.4811,                 4.2998,                      0,                      0,                      0,                      0,                 3.3805,                 5.3225,                 4.1634,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                 2.8551,                 5.5862,                 4.3302,                      0,                      0,                      0,                      0,                 3.3805,                 5.3225,                 4.1634,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 3.6665,                 5.4284,                 4.2741,                      0,                      0,                      0,                      0,                 3.3799,                 5.3193,                 4.1635,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 2.8858,                  5.521,                 4.2297,                      0,                      0,                      0,                      0,                 3.3799,                 5.3193,                 4.1635,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 2.7598,                 5.5299,                 4.2085,                      0,                      0,                      0,                      0,                 3.3793,                 5.3214,                 4.1637,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 3.3911,                 5.5194,                 4.2631,                      0,                      0,                      0,                      0,                 3.3793,                 5.3214,                 4.1637,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 3.1049,                 5.4713,                 4.2041,                      0,                      0,                      0,                      0,                 3.3793,                 5.3174,                 4.1638,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 3.3425,                 5.4694,                 4.2224,                      0,                      0,                      0,                      0,                 3.3793,                 5.3174,                 4.1638,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 3.1227,                  5.506,                 4.3755,                      0,                      0,                      0,                      0,                 3.3794,                 5.3185,                 4.1639,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                  2.875,                 5.4886,                 4.3181,                      0,                      0,                      0,                      0,                 3.3794,                 5.3185,                 4.1639,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 3.3069,                 5.2813,                 4.3344,                      0,                      0,                      0,                      0,                 3.3785,                 5.3212,                 4.1639,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 3.4664,                 5.7125,                 4.2599,                      0,                      0,                      0,                      0,                 3.3785,                 5.3212,                 4.1639,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 3.1926,                 5.5695,                 4.2352,                      0,                      0,                      0,                      0,                 3.3789,                 5.3201,                 4.1641,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 3.2397,                  5.478,                 4.2566,                      0,                      0,                      0,                      0,                 3.3789,                 5.3201,                 4.1641,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 3.5683,                 5.5121,                 4.2437,                      0,                      0,                      0,                      0,                 3.3785,                 5.3214,                 4.1642,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 3.3729,                 5.5403,                 4.2458,                      0,                      0,                      0,                      0,                 3.3785,                 5.3214,                 4.1642,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 3.2968,                 5.5376,                 4.2018,                      0,                      0,                      0,                      0,                   3.38,                 5.3209,                  4.164,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 3.5272,                 5.4145,                 4.2262,                      0,                      0,                      0,                      0,                   3.38,                 5.3209,                  4.164,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 3.1833,                 5.4838,                 4.2932,                      0,                      0,                      0,                      0,                 3.3795,                 5.3209,                  4.164,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 3.6133,                 5.6796,                 4.2994,                      0,                      0,                      0,                      0,                 3.3795,                 5.3209,                  4.164,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 3.2004,                 5.5127,                 4.2268,                      0,                      0,                      0,                      0,                 3.3798,                 5.3203,                 4.1646,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                  3.417,                 5.6113,                 4.3154,                      0,                      0,                      0,                      0,                 3.3798,                 5.3203,                 4.1646,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 3.2971,                 5.4291,                 4.2142,                      0,                      0,                      0,                      0,                 3.3798,                 5.3203,                 4.1646,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                  3.285,                 5.6227,                 4.2787,                      0,                      0,                      0,                      0,                 3.3779,                 5.3178,                 4.1647,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 3.4412,                 5.4366,                 4.2404,                      0,                      0,                      0,                      0,                 3.3779,                 5.3178,                 4.1647,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 2.7771,                   5.38,                 4.2732,                      0,                      0,                      0,                      0,                 3.3779,                 5.3178,                 4.1647,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 3.4867,                 5.5131,                 4.2477,                      0,                      0,                      0,                      0,                 3.3787,                 5.3215,                 4.1646,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 3.0624,                 5.5472,                 4.2012,                      0,                      0,                      0,                      0,                 3.3787,                 5.3215,                 4.1646,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 2.9818,                 5.5009,                 4.2268,                      0,                      0,                      0,                      0,                 3.3787,                 5.3215,                 4.1646,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 3.2377,                 5.4492,                 4.3009,                      0,                      0,                      0,                      0,                 3.3793,                 5.3179,                 4.1643,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 3.2996,                 5.4665,                 4.2535,                      0,                      0,                      0,                      0,                 3.3793,                 5.3179,                 4.1643,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 2.5431,                 5.5154,                 4.2675,                      0,                      0,                      0,                      0,                 3.3793,                 5.3179,                 4.1643,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 3.2172,                 5.5599,                 4.2114,                      0,                      0,                      0,                      0,                 3.3798,                 5.3179,                 4.1645,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 3.0501,                 5.4574,                   4.29,                      0,                      0,                      0,                      0,                 3.3798,                 5.3179,                 4.1645,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                 3.6378,                 5.5114,                 4.2286,                      0,                      0,                      0,                      0,                 3.3798,                 5.3179,                 4.1645,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 3.0282,                 5.5411,                 4.2452,                      0,                      0,                      0,                      0,                  3.381,                 5.3195,                 4.1645,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 3.2528,                 5.5372,                 4.2439,                      0,                      0,                      0,                      0,                  3.381,                 5.3195,                 4.1645,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                  3.562,                  5.536,                 4.3437,                      0,                      0,                      0,                      0,                  3.381,                 5.3195,                 4.1645,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 3.0674,                 5.6281,                 4.2274,                      0,                      0,                      0,                      0,                 3.3803,                 5.3194,                 4.1645,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 3.1444,                 5.6043,                 4.2415,                      0,                      0,                      0,                      0,                 3.3803,                 5.3194,                 4.1645,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                  3.713,                 5.9373,                 4.2865,                      0,                      0,                      0,                      0,                 3.3803,                 5.3194,                 4.1645,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                 3.4205,                  5.566,                 4.2097,                      0,                      0,                      0,                      0,                  3.381,                 5.3178,                 4.1645,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                  3.218,                 5.3462,                 4.2246,                      0,                      0,                      0,                      0,                  3.381,                 5.3178,                 4.1645,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                  3.441,                 5.6704,                 4.2374,                      0,                      0,                      0,                      0,                  3.381,                 5.3178,                 4.1645,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                  3.327,                 5.7076,                 4.3359,                      0,                      0,                      0,                      0,                 3.3817,                 5.3199,                 4.1647,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 3.0877,                 5.4529,                 4.2547,                      0,                      0,                      0,                      0,                 3.3817,                 5.3199,                 4.1647,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 3.1505,                 5.3484,                 4.2681,                      0,                      0,                      0,                      0,                 3.3817,                 5.3199,                 4.1647,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 3.1119,                 5.6514,                 4.2905,                      0,                      0,                      0,                      0,                 3.3813,                 5.3174,                 4.1647,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 3.1012,                 5.6737,                 4.3093,                      0,                      0,                      0,                      0,                 3.3813,                 5.3174,                 4.1647,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                 3.2131,                 5.5074,                 4.2398,                      0,                      0,                      0,                      0,                 3.3813,                 5.3174,                 4.1647,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 3.3506,                 5.5108,                  4.277,                      0,                      0,                      0,                      0,                  3.381,                 5.3204,                 4.1645,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                  3.125,                 5.4368,                 4.2024,                      0,                      0,                      0,                      0,                  3.381,                 5.3204,                 4.1645,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                 3.1486,                 5.5029,                 4.2309,                      0,                      0,                      0,                      0,                  3.381,                 5.3204,                 4.1645,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 3.1909,                 5.4756,                 4.2309,                      0,                      0,                      0,                      0,                 3.3799,                 5.3181,                 4.1654,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 3.6056,                 5.4854,                 4.2405,                      0,                      0,                      0,                      0,                 3.3799,                 5.3181,                 4.1654,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 3.2416,                 5.3727,                 4.2364,                      0,                      0,                      0,                      0,                 3.3799,                 5.3181,                 4.1654,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 3.4694,                 5.6632,                 4.1839,                      0,                      0,                      0,                      0,                 3.3799,                 5.3181,                 4.1654,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 3.3028,                 5.3876,                   4.22,                      0,                      0,                      0,                      0,                 3.3784,                 5.3156,                  4.165,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 3.0128,                 5.5128,                 4.2023,                      0,                      0,                      0,                      0,                 3.3784,                 5.3156,                  4.165,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                  2.966,                 5.3128,                 4.2732,                      0,                      0,                      0,                      0,                 3.3784,                 5.3156,                  4.165,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 2.8698,                 5.5561,                 4.2586,                      0,                      0,                      0,                      0,                 3.3784,                 5.3156,                  4.165,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 2.9149,                 5.4227,                 4.2861,                      0,                      0,                      0,                      0,                 3.3773,                 5.3179,                 4.1656,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                 2.9971,                 5.5265,                 4.3102,                      0,                      0,                      0,                      0,                 3.3773,                 5.3179,                 4.1656,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 2.8344,                 5.4449,                 4.2386,                      0,                      0,                      0,                      0,                 3.3773,                 5.3179,                 4.1656,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                 2.8139,                 5.4236,                 4.3812,                      0,                      0,                      0,                      0,                 3.3773,                 5.3179,                 4.1656,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 2.8854,                 5.7348,                 4.2369,                      0,                      0,                      0,                      0,                 3.3778,                 5.3187,                 4.1661,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 2.6544,                 5.5478,                 4.2825,                      0,                      0,                      0,                      0,                 3.3778,                 5.3187,                 4.1661,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                 2.8265,                 5.5453,                 4.2475,                      0,                      0,                      0,                      0,                 3.3778,                 5.3187,                 4.1661,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                 2.8246,                 5.5746,                 4.3252,                      0,                      0,                      0,                      0,                 3.3778,                 5.3187,                 4.1661,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                 2.8728,                 5.7717,                 4.3413,                      0,                      0,                      0,                      0,                 3.3777,                 5.3173,                 4.1658,             2.3444e-06,             2.3444e-06,             2.3444e-06
